"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt2515086","movie","One Direction: This Is Us","One Direction: This Is Us",0,2013,92,"Documentary","4.3","Morgan Spurlock","Liam Payne","Harry Styles"
"tt2517658","movie","The Canal","The Canal",0,2014,92,"Drama","5.8","Ivan Kavanagh","Rupert Evans","Antonia Campbell-Hughes"
"tt2537176","movie","I Spit on Your Grave 2","I Spit on Your Grave 2",0,2013,106,"Horror","5.7","Steven R. Monroe","Jemma Dallender","Joe Absolom"
"tt2545118","movie","Blackfish","Blackfish",0,2013,83,"Documentary","8.1","Gabriela Cowperthwaite","Tilikum","Dave Duffus"
"tt2545428","movie","Meru","Meru",0,2015,90,"Documentary","7.7","Jimmy Chin","Conrad Anker","Grace Chin"
"tt25471950","movie","Flora and Son","Flora and Son",0,2023,97,"Comedy","7","John Carney","Eve Hewson","Joseph Gordon-Levitt"
"tt2547584","movie","The Light Between Oceans","The Light Between Oceans",0,2016,133,"Drama","7.2","Derek Cianfrance","Michael Fassbender","Alicia Vikander"
"tt2548396","movie","The Cloverfield Paradox","The Cloverfield Paradox",0,2018,102,"Action","5.5","Julius Onah","Gugu Mbatha-Raw","David Oyelowo"
"tt2554274","movie","Crimson Peak","Crimson Peak",0,2015,119,"Drama","6.5","Guillermo del Toro","Mia Wasikowska","Jessica Chastain"
"tt2581244","movie","Life After Beth","Life After Beth",0,2014,89,"Comedy","5.7","Jeff Baena","Aubrey Plaza","Dane DeHaan"
"tt2582496","movie","Me and Earl and the Dying Girl","Me and Earl and the Dying Girl",0,2015,105,"Comedy","7.7","Alfonso Gomez-Rejon","Thomas Mann","RJ Cyler"
"tt2582498","movie","Sweet Virginia","Sweet Virginia",0,2017,93,"Action","6.2","Jamie M. Dagg","Jon Bernthal","Christopher Abbott"
"tt2582500","movie","Shut In","Shut In",0,2016,91,"Drama","4.8","Farren Blackburn","Naomi Watts","Charlie Heaton"
"tt2582502","movie","Fathers & Daughters","Fathers & Daughters",0,2015,116,"Drama","7","Gabriele Muccino","Russell Crowe","Amanda Seyfried"
"tt2582576","movie","Sand Castle","Sand Castle",0,2017,113,"Action","6.3","Fernando Coimbra","Nicholas Hoult","Logan Marshall-Green"
"tt2582782","movie","Hell or High Water","Hell or High Water",0,2016,102,"Crime","7.6","David Mackenzie","Chris Pine","Ben Foster"
"tt2582784","movie","Flower","Flower",0,2017,90,"Comedy","6","Max Winkler","Zoey Deutch","Kathryn Hahn"
"tt2582802","movie","Whiplash","Whiplash",0,2014,106,"Drama","8.5","Damien Chazelle","Miles Teller","J.K. Simmons"
"tt2582846","movie","The Fault in Our Stars","The Fault in Our Stars",0,2014,126,"Drama","7.7","Josh Boone","Shailene Woodley","Ansel Elgort"
"tt2584384","movie","Jojo Rabbit","Jojo Rabbit",0,2019,108,"Comedy","7.9","Taika Waititi","Roman Griffin Davis","Thomasin McKenzie"
"tt26084002","movie","Self Reliance","Self Reliance",0,2023,85,"Comedy","6.1","Jake Johnson","Jake Johnson","Andy Samberg"
"tt2608732","movie","TPB AFK: The Pirate Bay Away from Keyboard","TPB AFK: The Pirate Bay Away from Keyboard",0,2013,85,"Documentary","7.4","Simon Klose","Gottfrid Svartholm","Peter Sunde"
"tt2610768","movie","Celal and Ceren","Celal ile Ceren",0,2013,114,"Comedy","3.2","Togan Gökbakar","Sahan Gökbakar","Ezgi Mola"
"tt2614684","movie","'71","'71",0,2014,99,"Action","7.2","Yann Demange","Jack O'Connell","Sam Reid"
"tt26160190","movie","Unlocked","Seumateuponeul tteoreotteuryeosseul ppuninde",0,2023,117,"Crime","6.4","Kim Tae-joon","Chun Woo-hee","Im Si-wan"
"tt2617676","movie","Thalaivaa","Thalaivaa",0,2013,179,"Action","6.2","A.L. Vijay","Joseph Vijay","Amala Paul"
